Sport,Conference,Team,Marketing Blurb
MLB,American League,Baltimore Orioles,This could be the year the Orioles win it all!  And you can be there if you buy a policy now!
MLB,American League,Boston Red Sox,This could be the year the Red Sox win it all!  And you can be there if you buy a policy now!
MLB,American League,Chicago White Sox,This could be the year the White Sox win it all!  And you can be there if you buy a policy now!
MLB,American League,Cleveland Indians,This could be the year the Indians win it all!  And you can be there if you buy a policy now!
MLB,American League,Detroit Tigers,This could be the year the Tigers win it all!  And you can be there if you buy a policy now!
MLB,American League,Kansas City Royals,This could be the year the City Royals win it all!  And you can be there if you buy a policy now!
MLB,American League,Los Angeles Angels,This could be the year the Angels win it all!  And you can be there if you buy a policy now!
MLB,American League,Minnesota Twins,This could be the year the Twins win it all!  And you can be there if you buy a policy now!
MLB,American League,New York Yankees,This could be the year the Yankees win it all!  And you can be there if you buy a policy now!
MLB,American League,Oakland Athletics,This could be the year the Athletics win it all!  And you can be there if you buy a policy now!
MLB,American League,Seattle Mariners,This could be the year the Mariners win it all!  And you can be there if you buy a policy now!
MLB,American League,Tampa Bay Rays,This could be the year the Devil Rays win it all!  And you can be there if you buy a policy now!
MLB,American League,Texas Rangers,This could be the year the Rangers win it all!  And you can be there if you buy a policy now!
MLB,American League,Toronto Blue Jays,This could be the year the Blue Jays win it all!  And you can be there if you buy a policy now!
MLB,National League,Arizona Diamondbacks,This could be the year the Diamondbacks win it all!  And you can be there if you buy a policy now!
MLB,National League,Atlanta Braves,This could be the year the Braves win it all!  And you can be there if you buy a policy now!
MLB,National League,Chicago Cubs,This could be the year the Cubs win it all!  And you can be there if you buy a policy now!
MLB,National League,Cincinnati Reds,This could be the year the Reds win it all!  And you can be there if you buy a policy now!
MLB,National League,Colorado Rockies,This could be the year the Rockies win it all!  And you can be there if you buy a policy now!
MLB,National League,Florida Marlins,This could be the year the Marlins win it all!  And you can be there if you buy a policy now!
MLB,National League,Houston Astros,This could be the year the Astros win it all!  And you can be there if you buy a policy now!
MLB,National League,Los Angeles Dodgers,This could be the year the Dodgers win it all!  And you can be there if you buy a policy now!
MLB,National League,Milwaukee Brewers,This could be the year the Brewers win it all!  And you can be there if you buy a policy now!
MLB,National League,New York Mets,This could be the year the Mets win it all!  And you can be there if you buy a policy now!
MLB,National League,Philadelphia Phillies,This could be the year the Phillies win it all!  And you can be there if you buy a policy now!
MLB,National League,Pittsburgh Pirates,This could be the year the Pirates win it all!  And you can be there if you buy a policy now!
MLB,National League,San Diego Padres,This could be the year the Padres win it all!  And you can be there if you buy a policy now!
MLB,National League,San Francisco Giants,This could be the year the Giants win it all!  And you can be there if you buy a policy now!
MLB,National League,St. Louis Cardinals,This could be the year the Cardinals win it all!  And you can be there if you buy a policy now!
MLB,National League,Washington Nationals,This could be the year the Nationals win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Atlanta Hawks,This could be the year the Hawks win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Boston Celtics,This could be the year the Celtics win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Charlotte Bobcats,This could be the year the Bobcats win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Chicago Bulls,This could be the year the Bulls win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Cleveland Cavaliers,This could be the year the Cavaliers win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Detriot Pistons,This could be the year the Pistons win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Indiana Pacers,This could be the year the Pacers win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Miami Heat,This could be the year the Heat win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Milwaukee Bucks,This could be the year the Bucks win it all!  And you can be there if you buy a policy now!
NBA,Eastern,New Jersey Nets,This could be the year the Nets win it all!  And you can be there if you buy a policy now!
NBA,Eastern,New York Knicks,This could be the year the Knicks win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Orlando Magic,This could be the year the Magic win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Philadelphia 76ers,This could be the year the 76ers win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Toronto Raptors,This could be the year the Raptors win it all!  And you can be there if you buy a policy now!
NBA,Eastern,Washington Wizards,This could be the year the Wizards win it all!  And you can be there if you buy a policy now!
NBA,Western,Dallas Mavericks,This could be the year the Mavericks win it all!  And you can be there if you buy a policy now!
NBA,Western,Denver Nuggets,This could be the year the Nuggets win it all!  And you can be there if you buy a policy now!
NBA,Western,Golden State Warriors,This could be the year the State Warriors win it all!  And you can be there if you buy a policy now!
NBA,Western,Houston Rockets,This could be the year the Rockets win it all!  And you can be there if you buy a policy now!
NBA,Western,Los Angeles Clippers,This could be the year the Clippers win it all!  And you can be there if you buy a policy now!
NBA,Western,Los Angeles Lakers,This could be the year the Lakers win it all!  And you can be there if you buy a policy now!
NBA,Western,Memphis Grizzlies,This could be the year the Grizzlies win it all!  And you can be there if you buy a policy now!
NBA,Western,Minnesota Timberwolves,This could be the year the Timberwolves win it all!  And you can be there if you buy a policy now!
NBA,Western,New Orleans Hornets,This could be the year the Hornets win it all!  And you can be there if you buy a policy now!
NBA,Western,Phoenix Suns,This could be the year the Suns win it all!  And you can be there if you buy a policy now!
NBA,Western,Portland Trail Blazers,This could be the year the Trail Blazers win it all!  And you can be there if you buy a policy now!
NBA,Western,Sacramento Kings,This could be the year the Kings win it all!  And you can be there if you buy a policy now!
NBA,Western,San Antonio Spurs,This could be the year the Spurs win it all!  And you can be there if you buy a policy now!
NBA,Western,Seattle Supersonics,This could be the year the Supersonics win it all!  And you can be there if you buy a policy now!
NBA,Western,Utah Jazz,This could be the year the Jazz win it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Boston College,This could be the year Boston College wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Clemson,This could be the year Clemson wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Duke,This could be the year Duke wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Florida State,This could be the year Florida State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Georgia Tech,This could be the year Georgia Tech wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Maryland,This could be the year Maryland wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Miami (Fla.),This could be the year Miami (Fla.) wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,North Carolina,This could be the year North Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,North Carolina State,This could be the year North Carolina State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Virginia,This could be the year Virginia wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Virginia Tech,This could be the year Virginia Tech wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,ACC,Wake Forest,This could be the year Wake Forest wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Albany,This could be the year Albany wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Binghamton,This could be the year Binghamton wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Boston University,This could be the year Boston University wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Hartford,This could be the year Hartford wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Maine,This could be the year Maine wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Maryland-Baltimore County,This could be the year Maryland-Baltimore County wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,New Hampshire,This could be the year New Hampshire wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Stony Brook,This could be the year Stony Brook wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,American East,Vermont,This could be the year Vermont wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Charlotte,This could be the year Charlotte wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Dayton,This could be the year Dayton wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Duquesne,This could be the year Duquesne wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Fordham,This could be the year Fordham wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,George Washington,This could be the year George Washington wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,La Salle,This could be the year La Salle wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Massachusetts,This could be the year Massachusetts wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Rhode Island,This could be the year Rhode Island wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Richmond,This could be the year Richmond wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Saint Bonaventure,This could be the year Saint Bonaventure wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Saint Joseph's,This could be the year Saint Joseph's wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Saint Louis,This could be the year Saint Louis wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic 10,Xavier,This could be the year Xavier wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Belmont,This could be the year Belmont wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Campbell,This could be the year Campbell wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,East Tennessee State,This could be the year East Tennessee State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Gardner-Webb,This could be the year Gardner-Webb wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Jacksonville,This could be the year Jacksonville wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Kennesaw State,This could be the year Kennesaw State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Lipscomb,This could be the year Lipscomb wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Mercer,This could be the year Mercer wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,North Florida,This could be the year North Florida wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Atlantic Sun,Stetson,This could be the year Stetson wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Cincinnati,This could be the year Cincinnati wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Connecticut,This could be the year Connecticut wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,DePaul,This could be the year DePaul wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Georgetown,This could be the year Georgetown wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Louisville,This could be the year Louisville wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Marquette,This could be the year Marquette wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Big East,Notre Dame,This could be the year Notre Dame wins it all!  And you can be there if you buy a policy now!
